original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",chất ức chế COMT,Điều trị,chất chủ vận dopamin,Điều trị,"các phương pháp điều trị bệnh parkinson bao gồm dùng thuốc levodopa, amantadine, [o] chất chủ vận dopamin [/o], [s] chất ức chế comt [/s] và phẫu thuật não.",No_relation
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",chất ức chế COMT,Điều trị,phẫu thuật não,Điều trị,"các phương pháp điều trị bệnh parkinson bao gồm dùng thuốc levodopa, amantadine, chất chủ vận dopamin, [s] chất ức chế comt [/s] và [o] phẫu thuật não [/o].",No_relation
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",phẫu thuật não,Điều trị,Parkinson,Bệnh,"các phương pháp điều trị bệnh [o] parkinson [/o] bao gồm dùng thuốc levodopa, amantadine, chất chủ vận dopamin, chất ức chế comt và [s] phẫu thuật não [/s].",No_relation
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",phẫu thuật não,Điều trị,thuốc Levodopa,Điều trị,"các phương pháp điều trị bệnh parkinson bao gồm dùng [o] thuốc levodopa [/o], amantadine, chất chủ vận dopamin, chất ức chế comt và [s] phẫu thuật não [/s].",No_relation
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",phẫu thuật não,Điều trị,Amantadine,Điều trị,"các phương pháp điều trị bệnh parkinson bao gồm dùng thuốc levodopa, [o] amantadine [/o], chất chủ vận dopamin, chất ức chế comt và [s] phẫu thuật não [/s].",No_relation
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",phẫu thuật não,Điều trị,chất chủ vận dopamin,Điều trị,"các phương pháp điều trị bệnh parkinson bao gồm dùng thuốc levodopa, amantadine, [o] chất chủ vận dopamin [/o], chất ức chế comt và [s] phẫu thuật não [/s].",No_relation
"Các phương pháp điều trị bệnh Parkinson bao gồm dùng thuốc Levodopa, Amantadine, chất chủ vận dopamin, chất ức chế COMT và phẫu thuật não.",phẫu thuật não,Điều trị,chất ức chế COMT,Điều trị,"các phương pháp điều trị bệnh parkinson bao gồm dùng thuốc levodopa, amantadine, chất chủ vận dopamin, [o] chất ức chế comt [/o] và [s] phẫu thuật não [/s].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Alzheimer,Bệnh,sa sút trí nhớ,Triệu chứng,"bệnh [s] alzheimer [/s] có các triệu chứng thường gặp như [o] sa sút trí nhớ [/o], khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Có_triệu_chứng
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Alzheimer,Bệnh,khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,"bệnh [s] alzheimer [/s] có các triệu chứng thường gặp như sa sút trí nhớ, [o] khó khăn diễn đạt bằng ngôn ngữ [/o], thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Có_triệu_chứng
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Alzheimer,Bệnh,thay đổi hành vi tâm trạng,Triệu chứng,"bệnh [s] alzheimer [/s] có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, [o] thay đổi hành vi tâm trạng [/o], nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Có_triệu_chứng
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Alzheimer,Bệnh,nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,"bệnh [s] alzheimer [/s] có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, [o] nhầm lẫn thời gian hoặc địa điểm [/o] và hay đặt đồ vật sai vị trí.",Có_triệu_chứng
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",Alzheimer,Bệnh,hay đặt đồ vật sai vị trí,Triệu chứng,"bệnh [s] alzheimer [/s] có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và [o] hay đặt đồ vật sai vị trí [/o].",Có_triệu_chứng
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",sa sút trí nhớ,Triệu chứng,Alzheimer,Bệnh,"bệnh [o] alzheimer [/o] có các triệu chứng thường gặp như [s] sa sút trí nhớ [/s], khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",sa sút trí nhớ,Triệu chứng,khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [s] sa sút trí nhớ [/s], [o] khó khăn diễn đạt bằng ngôn ngữ [/o], thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",sa sút trí nhớ,Triệu chứng,thay đổi hành vi tâm trạng,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [s] sa sút trí nhớ [/s], khó khăn diễn đạt bằng ngôn ngữ, [o] thay đổi hành vi tâm trạng [/o], nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",sa sút trí nhớ,Triệu chứng,nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [s] sa sút trí nhớ [/s], khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, [o] nhầm lẫn thời gian hoặc địa điểm [/o] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",sa sút trí nhớ,Triệu chứng,hay đặt đồ vật sai vị trí,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [s] sa sút trí nhớ [/s], khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và [o] hay đặt đồ vật sai vị trí [/o].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,Alzheimer,Bệnh,"bệnh [o] alzheimer [/o] có các triệu chứng thường gặp như sa sút trí nhớ, [s] khó khăn diễn đạt bằng ngôn ngữ [/s], thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,sa sút trí nhớ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [o] sa sút trí nhớ [/o], [s] khó khăn diễn đạt bằng ngôn ngữ [/s], thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,thay đổi hành vi tâm trạng,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, [s] khó khăn diễn đạt bằng ngôn ngữ [/s], [o] thay đổi hành vi tâm trạng [/o], nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, [s] khó khăn diễn đạt bằng ngôn ngữ [/s], thay đổi hành vi tâm trạng, [o] nhầm lẫn thời gian hoặc địa điểm [/o] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,hay đặt đồ vật sai vị trí,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, [s] khó khăn diễn đạt bằng ngôn ngữ [/s], thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và [o] hay đặt đồ vật sai vị trí [/o].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",thay đổi hành vi tâm trạng,Triệu chứng,Alzheimer,Bệnh,"bệnh [o] alzheimer [/o] có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, [s] thay đổi hành vi tâm trạng [/s], nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",thay đổi hành vi tâm trạng,Triệu chứng,sa sút trí nhớ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [o] sa sút trí nhớ [/o], khó khăn diễn đạt bằng ngôn ngữ, [s] thay đổi hành vi tâm trạng [/s], nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",thay đổi hành vi tâm trạng,Triệu chứng,khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, [o] khó khăn diễn đạt bằng ngôn ngữ [/o], [s] thay đổi hành vi tâm trạng [/s], nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",thay đổi hành vi tâm trạng,Triệu chứng,nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, [s] thay đổi hành vi tâm trạng [/s], [o] nhầm lẫn thời gian hoặc địa điểm [/o] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",thay đổi hành vi tâm trạng,Triệu chứng,hay đặt đồ vật sai vị trí,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, [s] thay đổi hành vi tâm trạng [/s], nhầm lẫn thời gian hoặc địa điểm và [o] hay đặt đồ vật sai vị trí [/o].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,Alzheimer,Bệnh,"bệnh [o] alzheimer [/o] có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, [s] nhầm lẫn thời gian hoặc địa điểm [/s] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,sa sút trí nhớ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [o] sa sút trí nhớ [/o], khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, [s] nhầm lẫn thời gian hoặc địa điểm [/s] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, [o] khó khăn diễn đạt bằng ngôn ngữ [/o], thay đổi hành vi tâm trạng, [s] nhầm lẫn thời gian hoặc địa điểm [/s] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,thay đổi hành vi tâm trạng,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, [o] thay đổi hành vi tâm trạng [/o], [s] nhầm lẫn thời gian hoặc địa điểm [/s] và hay đặt đồ vật sai vị trí.",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,hay đặt đồ vật sai vị trí,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, [s] nhầm lẫn thời gian hoặc địa điểm [/s] và [o] hay đặt đồ vật sai vị trí [/o].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",hay đặt đồ vật sai vị trí,Triệu chứng,Alzheimer,Bệnh,"bệnh [o] alzheimer [/o] có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và [s] hay đặt đồ vật sai vị trí [/s].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",hay đặt đồ vật sai vị trí,Triệu chứng,sa sút trí nhớ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như [o] sa sút trí nhớ [/o], khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và [s] hay đặt đồ vật sai vị trí [/s].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",hay đặt đồ vật sai vị trí,Triệu chứng,khó khăn diễn đạt bằng ngôn ngữ,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, [o] khó khăn diễn đạt bằng ngôn ngữ [/o], thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và [s] hay đặt đồ vật sai vị trí [/s].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",hay đặt đồ vật sai vị trí,Triệu chứng,thay đổi hành vi tâm trạng,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, [o] thay đổi hành vi tâm trạng [/o], nhầm lẫn thời gian hoặc địa điểm và [s] hay đặt đồ vật sai vị trí [/s].",No_relation
"Bệnh Alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, nhầm lẫn thời gian hoặc địa điểm và hay đặt đồ vật sai vị trí.",hay đặt đồ vật sai vị trí,Triệu chứng,nhầm lẫn thời gian hoặc địa điểm,Triệu chứng,"bệnh alzheimer có các triệu chứng thường gặp như sa sút trí nhớ, khó khăn diễn đạt bằng ngôn ngữ, thay đổi hành vi tâm trạng, [o] nhầm lẫn thời gian hoặc địa điểm [/o] và [s] hay đặt đồ vật sai vị trí [/s].",No_relation
Đau đầu Migraine thường gây ra những cơn đau nhức cực kỳ nghiêm trọng.,Đau đầu Migraine,Bệnh,cơn đau nhức,Triệu chứng,[s] đau đầu migraine [/s] thường gây ra những [o] cơn đau nhức [/o] cực kỳ nghiêm trọng.,Có_triệu_chứng
Đau đầu Migraine thường gây ra những cơn đau nhức cực kỳ nghiêm trọng.,cơn đau nhức,Triệu chứng,Đau đầu Migraine,Bệnh,[o] đau đầu migraine [/o] thường gây ra những [s] cơn đau nhức [/s] cực kỳ nghiêm trọng.,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,trầm cảm,Bệnh,tiêu chuẩn ICD-10F,Chẩn đoán,bệnh [s] trầm cảm [/s] được chẩn đoán dựa theo [o] tiêu chuẩn icd-10f [/o] với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,Chẩn_đoán_bằng
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,trầm cảm,Bệnh,giảm khí sắc,Triệu chứng,bệnh [s] trầm cảm [/s] được chẩn đoán dựa theo tiêu chuẩn icd-10f với các triệu chứng như [o] giảm khí sắc [/o] và mất quan tâm thích thú.,Có_triệu_chứng
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,trầm cảm,Bệnh,mất quan tâm thích thú,Triệu chứng,bệnh [s] trầm cảm [/s] được chẩn đoán dựa theo tiêu chuẩn icd-10f với các triệu chứng như giảm khí sắc và [o] mất quan tâm thích thú [/o].,Có_triệu_chứng
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,tiêu chuẩn ICD-10F,Chẩn đoán,trầm cảm,Bệnh,bệnh [o] trầm cảm [/o] được chẩn đoán dựa theo [s] tiêu chuẩn icd-10f [/s] với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,tiêu chuẩn ICD-10F,Chẩn đoán,giảm khí sắc,Triệu chứng,bệnh trầm cảm được chẩn đoán dựa theo [s] tiêu chuẩn icd-10f [/s] với các triệu chứng như [o] giảm khí sắc [/o] và mất quan tâm thích thú.,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,tiêu chuẩn ICD-10F,Chẩn đoán,mất quan tâm thích thú,Triệu chứng,bệnh trầm cảm được chẩn đoán dựa theo [s] tiêu chuẩn icd-10f [/s] với các triệu chứng như giảm khí sắc và [o] mất quan tâm thích thú [/o].,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,giảm khí sắc,Triệu chứng,trầm cảm,Bệnh,bệnh [o] trầm cảm [/o] được chẩn đoán dựa theo tiêu chuẩn icd-10f với các triệu chứng như [s] giảm khí sắc [/s] và mất quan tâm thích thú.,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,giảm khí sắc,Triệu chứng,tiêu chuẩn ICD-10F,Chẩn đoán,bệnh trầm cảm được chẩn đoán dựa theo [o] tiêu chuẩn icd-10f [/o] với các triệu chứng như [s] giảm khí sắc [/s] và mất quan tâm thích thú.,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,giảm khí sắc,Triệu chứng,mất quan tâm thích thú,Triệu chứng,bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn icd-10f với các triệu chứng như [s] giảm khí sắc [/s] và [o] mất quan tâm thích thú [/o].,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,mất quan tâm thích thú,Triệu chứng,trầm cảm,Bệnh,bệnh [o] trầm cảm [/o] được chẩn đoán dựa theo tiêu chuẩn icd-10f với các triệu chứng như giảm khí sắc và [s] mất quan tâm thích thú [/s].,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,mất quan tâm thích thú,Triệu chứng,tiêu chuẩn ICD-10F,Chẩn đoán,bệnh trầm cảm được chẩn đoán dựa theo [o] tiêu chuẩn icd-10f [/o] với các triệu chứng như giảm khí sắc và [s] mất quan tâm thích thú [/s].,No_relation
Bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn ICD-10F với các triệu chứng như giảm khí sắc và mất quan tâm thích thú.,mất quan tâm thích thú,Triệu chứng,giảm khí sắc,Triệu chứng,bệnh trầm cảm được chẩn đoán dựa theo tiêu chuẩn icd-10f với các triệu chứng như [o] giảm khí sắc [/o] và [s] mất quan tâm thích thú [/s].,No_relation
Hội chứng Down là yếu tố làm tăng nguy cơ phát triển bệnh Alzheimer.,Hội chứng Down,Bệnh,Alzheimer,Bệnh,[s] hội chứng down [/s] là yếu tố làm tăng nguy cơ phát triển bệnh [o] alzheimer [/o].,No_relation
Hội chứng Down là yếu tố làm tăng nguy cơ phát triển bệnh Alzheimer.,Alzheimer,Bệnh,Hội chứng Down,Bệnh,[o] hội chứng down [/o] là yếu tố làm tăng nguy cơ phát triển bệnh [s] alzheimer [/s].,No_relation
"Tình trạng bệnh Alzheimer được xác định thông qua các biện pháp kiểm tra khả năng lý luận, phối hợp tay và mắt, khả năng cân bằng, cảm nhận cảm giác.",Alzheimer,Bệnh,kiểm tra khả năng lý luận,Chẩn đoán,"tình trạng bệnh [s] alzheimer [/s] được xác định thông qua các biện pháp [o] kiểm tra khả năng lý luận [/o], phối hợp tay và mắt, khả năng cân bằng, cảm nhận cảm giác.",Chẩn_đoán_bằng
"Tình trạng bệnh Alzheimer được xác định thông qua các biện pháp kiểm tra khả năng lý luận, phối hợp tay và mắt, khả năng cân bằng, cảm nhận cảm giác.",Alzheimer,Bệnh,phối hợp tay và mắt,Chẩn đoán,"tình trạng bệnh [s] alzheimer [/s] được xác định thông qua các biện pháp kiểm tra khả năng lý luận, [o] phối hợp tay và mắt [/o], khả năng cân bằng, cảm nhận cảm giác.",Chẩn_đoán_bằng
"Tình trạng bệnh Alzheimer được xác định thông qua các biện pháp kiểm tra khả năng lý luận, phối hợp tay và mắt, khả năng cân bằng, cảm nhận cảm giác.",Alzheimer,Bệnh,khả năng cân bằng,Chẩn đoán,"tình trạng bệnh [s] alzheimer [/s] được xác định thông qua các biện pháp kiểm tra khả năng lý luận, phối hợp tay và mắt, [o] khả năng cân bằng [/o], cảm nhận cảm giác.",Chẩn_đoán_bằng
